DIST|PROJ|CIRCLE|ANG_CODE|ANGANWADI|START_DATE|END_DATE| Number of students enrolled(boys)                                                                                |  Number of students enrolled(girl)                                                                                |  Number of students present(boy)                                                                                  |  Number of students present(girl)                                                                                 |  Where is the center functioning                                                                                  |  The anganwadi center is in a spacious room (35 sq according to ecce rule), meaning there is an indoor enclosure  |  There is an outdoor space for 30 children, with space of 30sq                                                    |  There is a toilet for children to use                                                                            |  There is pure drinking water facility                                                                            |  There is safety around the center                                                                                |  There is cleanliness around the center                                                                           |  The building is safe                                                                                             |  There is basic facility for children with special needs                                                          |  There is seating facility available for children                                                                 |  There is clean rooms to sit for children                                                                         |  There is dust and spider web inside the center room                                                              |  There is dust bin in the center                                                                                  |  There is seperate space for storing food items in the center                                                     |  Store room is clean                                                                                              |  Food to be distributed on that day was covered properly                                                          |  Cook/ chef are clean                                                                                             |  There is seperate place for children to wash hands after lunch                                                   |  First aid box contains all the necessary items                                                                   |  There is sufficient learning material and playing items for children                                             |  There is sufficient learning material for indoor activities                                                      |  Indoor learning materials are bieng used by children                                                             |  There is black board in the center and children are able to write on it                                          |  There is writings on the wall related to learning                                                                |   The medical report of every children is maintained                                                              |  BVS is present                                                                                                   |  Anganwadi friendship group is formed                                                                             |  Activities are conducted by anganwadi friendship group members                                                   |  Anganwadi worker is trained                                                                                      |  Learning materials present                                                                                       |  Number of students with special needs(boy)                                                                       |  Number of students with special needs(girl)                                                                      
 bangalore | bangalore north (yelahanka)   | nandhini layout                   |29610| JAIBHUVANESWARANAGAR 2                | 2014-08-18 | 2015-12-30 |20|15|12|11|2|0|1|2|2|1|1|1|0|0|1|0|1|1|1|1|1|0|2|0|0|0|2|0|1|2|0|0|1|0|0|0
 bangalore | bangalore north (yelahanka)   | nandhini layout                   |29617| SANJIAGANDHINAGAR 2                   | 2014-08-18 | 2015-12-30 |8|12|2|10|2|0|0|1|0|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|1|1|1|0|0|1|2|0|0
 bangalore | bangalore north (yelahanka)   | nandhini layout                   |30226| SANJAYAGANDHINAGARA 1                 | 2014-08-18 | 2015-12-30 |7|11|5|8|2|0|0|1|0|1|1|1|0|1|1|0|0|1|1|1|1|0|2|1|0|0|2|0|1|2|0|0|1|2|0|0
 bangalore | bangalore north (yelahanka)   | shankar nagar                     |37791| LAKSHMIDEVI NAGAR SLUM                | 2014-08-18 | 2015-12-30 |16|22|12|16|2|0|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|0|0|1|2|0|1|1|0|0|1|2|0|0
 bangalore | bangalore north (yelahanka)   | shankar nagar                     |30268| JARAKABANDE  1                        | 2014-08-18 | 2015-12-30 |12|18|12|15|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|1|1|0|1|0|1|2|0|0|1|2|0|0
 bangalore | bangalore north (yelahanka)   | shankar nagar                     |30481| GORUGUNTEPALYA                        | 2014-08-18 | 2015-12-30 |9|21|10|7|2|1|1|2|2|1|1|1|1|1|1|1|1|1|0|1|1|1|0|2|1|1|2|1|1|2|0|0|1|0|1|0
 bangalore | bangalore north (yelahanka)   | shankar nagar                     |30177| RAJGOPAL NAGAR                        | 2014-08-18 | 2015-12-30 |20|20|2|8|2|0|0|2|2|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|2|1|1|0|0|0|1|0|0|0
 bangalore | bangalore north (yelahanka)   | shankar nagar                     |36356| KASTHURI BADAVANE                     | 2014-08-18 | 2015-12-30 |17|10|4|5|0|0|0|2|2|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|2|1|1|0|0|0|1|0|0|0
 bangalore | bangalore south(banashankari) | begure                            |29538| GAREBHAVI PALYA                       | 2014-08-18 | 2015-12-30 |8|14|5|9|2|0|0|0|2|0|1|1|0|1|1|0|1|0|0|1|1|0|1|0|0|0|1|0|1|1|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | begure                            |29545| NIYANAPANAHALLI                       | 2014-08-18 | 2015-12-30 |5|12|5|10|2|0|0|0|2|1|1|1|0|1|1|0|1|1|1|1|1|1|1|2|1|1|1|0|1|1|0|0|1|2|0|1
 bangalore | bangalore south(banashankari) | begure                            |30218| DAVARACHIKKANAHALLI                   | 2014-08-18 | 2015-12-30 |15|20|14|18|2|1|1|0|2|1|1|1|0|1|1|0|1|0|0|1|1|1|1|0|1|0|1|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | begure                            |29543| SOMASUNDRA PALYA                      | 2014-08-18 | 2015-12-30 |13|15|9|10|2|1|1|0|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|0|1|1|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | begure                            |30220| IBBLURUE                              | 2014-08-18 | 2015-12-30 |10|9|8|9|2|1|0|1|2|1|1|1|0|1|1|0|1|1|1|1|1|1|1|2|1|1|1|0|1|1|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |36484| NAGASANDRA CIRCLE                     | 2014-08-18 | 2015-12-30 |11|10|3|9|2|0|0|2|0|1|1|1|0|1|1|0|1|1|1|1|1|1|1|2|1|1|0|0|1|2|1|0|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |31406| R K BLOCK                             | 2014-08-18 | 2015-12-30 |13|17|8|10|2|1|0|2|2|1|1|1|0|1|1|0|1|1|1|1|1|0|2|2|1|1|2|0|1|2|1|1|1|2|0|1
 bangalore | bangalore south(banashankari) | jayanagar                         |30701| MARENAHALLI 2                         | 2014-08-18 | 2015-12-30 |12|10|10|8|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|0|0|0|1|0|1|1|1|1|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |37780| J P NAGAR (SARAKKI)                   | 2014-08-18 | 2015-12-30 |12|27|10|12|2|1|1|1|2|1|1|1|0|1|1|0|1|0|0|1|1|1|2|0|0|0|2|0|1|2|0|0|1|1|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |30668| BHOVI COLONY 2                        | 2014-08-18 | 2015-12-30 |10|9|3|5|2|0|0|2|2|1|1|1|0|1|1|0|1|0|0|1|1|0|2|2|1|1|1|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |31428| MARIYAMMA DEVASTHANA                  | 2014-08-18 | 2015-12-30 |8|7|6|5|1|0|0|1|2|1|0|1|0|1|1|0|0|0|0|1|1|1|2|0|0|0|0|0|1|1|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |31402| BYRASANDRA 1                          | 2014-08-18 | 2015-12-30 |13|23|7|20|2|0|0|2|2|0|1|1|0|1|1|0|1|0|0|0|1|0|2|0|0|0|0|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | jayanagar                         |31416| RAGI GUDDA SLUM                       | 2014-08-18 | 2015-12-30 |14|15|8|3|0|0|0|1|2|1|0|1|0|1|1|0|1|1|1|1|1|0|2|0|0|0|0|0|1|2|1|1|1|2|0|1
 bangalore | bangalore south(banashankari) | k gollahalli                      |31158| ANCHEPALYA                            | 2014-08-18 | 2015-12-30 |20|20|18|14|2|1|0|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|1|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | k gollahalli                      |31144| KANAMINIKE COLONY                     | 2014-08-18 | 2015-12-30 |8|10|5|8|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|1|1|1|2|0|0|1|2|0|0
